COUNTRY,COMPLETION,DEVELOPMENT
Afghanistan,53.90000153,Least Developed
Albania,94.92127991,More Developed
Algeria,92.91675568,Less Developed
Andorra,,More Developed
Angola,59.84965515,Least Developed
Anguilla,,
Antigua and Barbuda,,Less Developed
Argentina,92.23709106,Less Developed
Armenia,99.26644135,Less Developed
Australia,,More Developed
Austria,,More Developed
Azerbaijan,,Less Developed
Bahamas,,Less Developed
Bahrain,,Less Developed
Bangladesh,82.59999847,Least Developed
Barbados,98.90000153,Less Developed
Belarus,99.76951599,More Developed
Belgium,,More Developed
Belize,95.40000153,Less Developed
Benin,47.67232895,Least Developed
Bhutan,68.59999847,Least Developed
Bolivia (Plurinational State of),,Less Developed
Bosnia and Herzegovina,99.59999847,More Developed
Botswana,96.40000153,Less Developed
Brazil,95.5,Less Developed
British Virgin Islands,,
Brunei Darussalam,,Less Developed
Bulgaria,,More Developed
Burkina Faso,30.70000076,Least Developed
Burundi,50.09999847,Least Developed
Cabo Verde,,Less Developed
Cambodia,73.30000305,Least Developed
Cameroon,74.27262115,Less Developed
Canada,,More Developed
Central African Republic,43,Least Developed
Chad,27.29999924,Least Developed
Chile,96.28755951,Less Developed
China,97.09999847,Less Developed
Colombia,93,Less Developed
Comoros,76,Least Developed
Congo,79.97692108,Less Developed
Cook Islands,,Less Developed
Costa Rica,98.15335846,Less Developed
Côte d'Ivoire,56.40000153,Less Developed
Croatia,,More Developed
Cuba,99.24501801,Less Developed
Cyprus,,More Developed
Czechia,,More Developed
Democratic People's Republic of Korea,100,Less Developed
Democratic Republic of the Congo,66.67482758,Least Developed
Denmark,,More Developed
Djibouti,,Least Developed
Dominica,,Less Developed
Dominican Republic,91.09999847,Less Developed
Ecuador,98.19999695,Less Developed
Egypt,91.04031372,Less Developed
El Salvador,86.40000153,Less Developed
Equatorial Guinea,,Less Developed
Eritrea,,Least Developed
Estonia,,More Developed
Eswatini,70.35166931,Less Developed
Ethiopia,47.44540405,Least Developed
Fiji,,Less Developed
Finland,,More Developed
France,,More Developed
Gabon,70.5867157,Less Developed
Gambia,62.0860405,Least Developed
Georgia,99.90000153,Less Developed
Germany,,More Developed
Ghana,70.9571991,Less Developed
Greece,,More Developed
Grenada,,Less Developed
Guatemala,78.05786896,Less Developed
Guinea,44.64939499,Least Developed
Guinea-Bissau,27.22731972,Least Developed
Guyana,97.19999695,Less Developed
Haiti,53.60148239,Least Developed
Holy See,,
Honduras,83.51029968,Less Developed
Hungary,,More Developed
Iceland,,More Developed
India,91.4509964,Less Developed
Indonesia,91.49733734,Less Developed
Iran (Islamic Republic of),,Less Developed
Iraq,75.69999695,Less Developed
Ireland,,More Developed
Israel,,More Developed
Italy,,More Developed
Jamaica,99.30000305,Less Developed
Japan,,More Developed
Jordan,96.47027588,Less Developed
Kazakhstan,99.90000153,Less Developed
Kenya,79,Less Developed
Kiribati,94.0863266,Least Developed
Kuwait,,Less Developed
Kyrgyzstan,99.19999695,Less Developed
Lao People's Democratic Republic,83.43331146,Least Developed
Latvia,,More Developed
Lebanon,,Less Developed
Lesotho,79.90000153,Least Developed
Liberia,34.20000076,Least Developed
Libya,,Less Developed
Liechtenstein,,More Developed
Lithuania,,More Developed
Luxembourg,,More Developed
Madagascar,55.90000153,Least Developed
Malawi,46.70000076,Least Developed
Malaysia,,Less Developed
Maldives,,Less Developed
Mali,45.20000076,Least Developed
Malta,,More Developed
Marshall Islands,,Less Developed
Mauritania,62.90904617,Least Developed
Mauritius,,Less Developed
Mexico,97.90000153,Less Developed
Micronesia (Federated States of),,Less Developed
Monaco,,More Developed
Mongolia,97.36555481,Less Developed
Montenegro,96.03083801,More Developed
Montserrat,,
Morocco,,Less Developed
Mozambique,41.35822678,Least Developed
Myanmar,83.09302521,Least Developed
Namibia,80.59999847,Less Developed
Nauru,,Less Developed
Nepal,81.81856537,Least Developed
Netherlands,,More Developed
New Zealand,,More Developed
Nicaragua,,Less Developed
Niger,29.05247116,Least Developed
Nigeria,70.59999847,Less Developed
Niue,,Less Developed
North Macedonia,98.28049469,More Developed
Norway,,More Developed
Oman,,Less Developed
Pakistan,59.63983917,Less Developed
Palau,,Less Developed
Panama,95.09999847,Less Developed
Papua New Guinea,,Less Developed
Paraguay,94,Less Developed
Peru,95,Less Developed
Philippines,91.58721924,Less Developed
Poland,,More Developed
Portugal,,More Developed
Qatar,,Less Developed
Republic of Korea,,Less Developed
Republic of Moldova,99.08950043,More Developed
Romania,,More Developed
Russian Federation,,More Developed
Rwanda,54.29999924,Least Developed
Saint Kitts and Nevis,,Less Developed
Saint Lucia,99.09999847,Less Developed
Saint Vincent and the Grenadines,,Less Developed
Samoa,,Less Developed
San Marino,,More Developed
Sao Tome and Principe,82.58547974,Least Developed
Saudi Arabia,,Less Developed
Senegal,47.14471436,Least Developed
Serbia,99.30000305,More Developed
Seychelles,,Less Developed
Sierra Leone,64.19999695,Least Developed
Singapore,,Less Developed
Slovakia,,More Developed
Slovenia,,More Developed
Solomon Islands,,Least Developed
Somalia,,Least Developed
South Africa,96.30944824,Less Developed
South Sudan,24.52949905,Least Developed
Spain,,More Developed
Sri Lanka,98.95787811,Less Developed
State of Palestine,99.09999847,Less Developed
Sudan,64.77420807,Least Developed
Suriname,85.05225372,Less Developed
Sweden,,More Developed
Switzerland,,More Developed
Syrian Arab Republic,,Less Developed
Tajikistan,98.47150421,Less Developed
Thailand,98.64264679,Less Developed
Timor-Leste,80.68618011,Least Developed
Togo,79.82733154,Least Developed
Tokelau,,
Tonga,98.21355438,Less Developed
Trinidad and Tobago,,Less Developed
Tunisia,95,Less Developed
Turkey,98.42630005,Less Developed
Turkmenistan,99.82924652,Less Developed
Turks and Caicos Islands,,
Tuvalu,,Least Developed
Uganda,41.18813705,Least Developed
Ukraine,99.59999847,More Developed
United Arab Emirates,,Less Developed
United Kingdom,,More Developed
United Republic of Tanzania,79.5,Least Developed
United States,,More Developed
Uruguay,97.39063263,Less Developed
Uzbekistan,,Less Developed
Vanuatu,,Least Developed
Venezuela (Bolivarian Republic of),,Less Developed
Viet Nam,96.59999847,Less Developed
Yemen,62.59999847,Least Developed
Zambia,72.17063904,Least Developed
Zimbabwe,88.80000305,Less Developed
